city,lat,lng

Москва,55.7558,37.6172
Санкт-Петербург, 59.9375,30.3086
Новосибирск,55.0500,82.9500
Екатеринбург,56.8356,60.6128
Казань,55.7964,49.1089
Нижний Новгород,56.3269,44.0075
Челябинск,55.1547,61.3758
Омск,54.9833,73.3667
Самара,53.2028,50.1408
Ростов,47.2225,39.7100
Уфа,54.7261,55.9475
Красноярск,56.0089,92.8719
Вор онеж,51.6717,39.2106
Пермь,58.0000,56.3167
Волгоград, 48.7086, 44.5147
Краснодар,45.0333,38.9667
Тюмень,57.1500,65.5333
Саратов,51.5333,46.0167
Тольятти,53.5089,49.4222
Мах Ачкала, 42.9667, 47.4833
Ижевск,56.8333,53.1833
Барнаул,53.3486,83.7764
Ульяновск,54.3167,48.3667
Иркутск, 52.2833, 104.2833
Хабаровск, 48.4833, 135.0833
Ярославль,57.6167,39.8500
Владивосток,43.1333,131.9000
Томск,56.5000,84.9667
Оренбург,51.7833,55.1000
Кемерово, 55.3667,86.0667
Новокузнецк,53.7667,87.1333
Рязань,54.6300,39.7425
Набережные Челны,55.6833,52.3167
Астрахань,46.3500,48.0350
Пенза,53.2000,45.0000
Липецк,52.6167,39.6000
Киров,58.6000,49.6833
Калининград,54.7003,20.4531
Чебоксары,56.1500,47.2333
Балашиха,55.8167,37.9667
Тула,54.2000,37.6167
Курск,51.7167,36.1833
Ставрополь,45.0500,41.9833
Улан-Удэ,51.8333,107.6000
Тверь,56.8625,35.9242
Магнитогорск,53.3833,59.0333
Сочи,43.5853,39.7203
Иваново,56.9967,40.9819
Брянск,53.2333,34.3667
Сургут,61.2500,73.4333
Нижний Тагил,57.9167,59.9667
Владимир,56.1286,40.4058
Архангельск,64.5333,40.5333
Чита,52.0500,113.4667
Белгород,50.6000,36.6000
Калуга,54.5500,36.2833
Волжский,48.8056,44.7417
Смоленск,54.7828,32.0453
Саранск, 54.1833, 45.1833
Череповец,59.1167,37.9000
Во логда,59.2167,39.9000
Якутск,62.0300,129.7300
Курган,55.4667,65.3500
Владикавказ, 43.0400, 44.6775
Орел,52.9686,36.0694
Подольск,55.4311,37.5456
Грозный,43.3125,45.6986
Тамбов,52.7231,41.4539
Стерлитамак,53.6333,55.9500
Нижневартовск,60.9500,76.6000
Домашний питомец Розаводск,61.7833,34.3333
Кострома,57.7681,40.9269
Новороссийск, 44.7167,37.7833
Мурманск,68.9706,33.0750
Йошкар-Ола,56.6500,47.8833
Нальчик,43.4833,43.6167
Энгельс, 51.5017, 46.1222
Химки,55.8892,37.4450
Таганрог,47.2167,38.9167
Комсомольск-на-Амуре, 50.5667,137.0000
Сыктывкар,61.6667,50.8167
Нижнекамск,55.6333,51.8167
Шахты,47.7000,40.2333
Братск,56.1167,101.6000
Дзержинск,56.2333,43.4500
Ногинск,64.4833,91.2333
Орск,51.2000,58.5667
Колпино,59.7333,30.6000
Благовещенск,50.2500,127.5333
Старый Оскол,51.3000,37.8333
Ангарск,52.5500,103.9000
Великий Новгород,58.5500,31.2667
Королев,55.9167,37.8167
Мытищи,55.9167,37.7667
Псков,57.8167,28.3333
Люберцы,55.6783,37.8944
Бийск,52.5333,85.2167
Южно-Сахалинск, 46.9667,142.7333
Армавир,45.0000,41.1167
Рыбинск,58.0500,38.8333
Прокопьевск, 53.8833,86.7167
Балаково,52.0333,47.7833
Абакан,53.7167,91.4667
Норильск,69.3333,88.2167
Красногорск,55.8217,37.3386
Сызрань,53.1667,48.4667
Волгодонск,47.5167,42.1500
Уссурийск,43.8000,131.9667
Каменск-Уральский,56.4000,61.9333
Новочеркасск, 47.4222, 40.0939
Златоуст,55.1667,59.6667
Петропавловы к-Камчатский,53.0167,158.6500
Электросталь,55.7833,38.4667
Северодвинск,64.5667,39.8667
Альметьевск,54.9000,52.3000
Салават,53.3667,55.9333
Миасс,55.0000,60.1000
Орехово-Борисово Южное,55.6000,37.7333
Копейск,55.1000,61.6167
Одинцово,55.6667,37.2667
Пятигорск,44.0500,43.0667
Коломна,55.0833,38.7833
Находка,42.8167,132.8667
Березники,59.4167,56.7833
К Хасавюрт, 43.2500, 46.5833
Рубцовск,51.5167,81.2000
Майкоп,44.6000,40.0833
Ковров,56.3683,41.3108
Кисловодск, 43.9167, 42.7167
Нефтеюганск,61.0833,72.7000
Домодедово,55.4400,37.7619
Нефтекамск, 56.1417, 54.4667
Батайск,47.1667,39.7333
Новочебоксарск,56.1333,47.5000
Серпухов,54.9167,37.4000
Щелково,55.9167,38.0000
Новомосковск,54.0833,38.2167
Каспийск,42.8803,47.6383
Дербент,42.0500,48.3000
Первоуральск,56.9167,59.9333
Ч Еркесск,44.2167,42.0500
Орехово-Зуево,55.8000,38.9667
Назрань,43.2167,44.7667
Невинномысск, 44.6333, 41.9333
Раменское,55.5667,38.2167
Димитровград,54.1833,49.5833
Кызыл,51.7167,94.4500
Обнинск,55.0931,36.6106
Октябрьский,54.4667,53.4667
Новый Уренгой,66.0833,76.6833
Ессентуки,44.0333,42.8500
Камышин,50.0833,45.4000
Муром,55.5667,42.0333
Долгопрудный,55.9333,37.5000
Новошахтинск,47.7667,39.9167
Жуковский,55.5972,38.1203
Северск,56.6000,84.8500
Реутов,55.7622,37.8567
Ноябрьск,63.2000,75.4500
Артём,43.3667,132.2000
Ханты-Мансийск,61.0000,69.0000
Пушкино,56.0167,37.8333
Ачинск,56.2817,90.5039
Сергиев Посад,56.3150,38.1367
Елец,52.6167,38.4667
Арзамас,55.4000,43.8167
Бердск,54.7500,83.1000
Элиста,46.3167,44.2667
Ногинск,55.8500,38.4333
Новокуйбышевск,53.1000,49.9333
Железногорск,52.3333,35.3667
Зеленодольск,55.8500,48.5167
Гатчина,59.5833,30.1333
Магадан,59.5667,150.8000
Великое Луки,56.3333,30.5333
Лобня,56.0167,37.4833
Бузулук,52.7833,52.2500
Кинешма,57.4333,42.1333
Кузнецк,53.1167,46.6000
Юрга,55.7231,84.8861
Ивантеевка,55.9833,37.9333
Черногорск,53.8167,91.3000
